"block","dataset","cell_id","cell_label","cell_count"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Female_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H18.30.001_Brain","http://purl.obolibrary.org/obo/CL_4023040","L2/3-6 intratelencephalic projecting glutamatergic cortical neuron","10165"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Female_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H18.30.001_Brain","http://purl.obolibrary.org/obo/CL_4023041","L5 extratelencephalic projecting glutamatergic cortical neuron","161"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Female_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H18.30.001_Brain","http://purl.obolibrary.org/obo/CL_4023038","L6b glutamatergic cortical neuron","649"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Female_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H18.30.001_Brain","http://purl.obolibrary.org/obo/CL_0002605","astrocyte of the cerebral cortex","1"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Female_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H18.30.001_Brain","http://purl.obolibrary.org/obo/CL_4023070","caudal ganglionic eminence derived GABAergic cortical interneuron","19"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Female_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H18.30.001_Brain","http://purl.obolibrary.org/obo/CL_1001602","cerebral cortex endothelial cell","11"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Female_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H18.30.001_Brain","http://purl.obolibrary.org/obo/CL_4023036","chandelier pvalb GABAergic cortical interneuron","107"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Female_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H18.30.001_Brain","http://purl.obolibrary.org/obo/CL_4023013","corticothalamic-projecting glutamatergic cortical neuron","559"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Female_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H18.30.001_Brain","http://purl.obolibrary.org/obo/CL_4023011","lamp5 GABAergic cortical interneuron","823"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Female_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H18.30.001_Brain","http://purl.obolibrary.org/obo/CL_0000129","microglial cell","1"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Female_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H18.30.001_Brain","http://purl.obolibrary.org/obo/CL_4023012","near-projecting glutamatergic cortical neuron","1001"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Female_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H18.30.001_Brain","http://purl.obolibrary.org/obo/CL_0000128","oligodendrocyte","1"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Female_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H18.30.001_Brain","http://purl.obolibrary.org/obo/CL_0002453","oligodendrocyte precursor cell","1"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Female_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H18.30.001_Brain","http://purl.obolibrary.org/obo/CL_4023018","pvalb GABAergic cortical interneuron","2677"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Female_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H18.30.001_Brain","http://purl.obolibrary.org/obo/CL_4023015","sncg GABAergic cortical interneuron","7"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Female_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H18.30.001_Brain","http://purl.obolibrary.org/obo/CL_4023017","sst GABAergic cortical interneuron","2357"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Female_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H18.30.001_Brain","http://purl.obolibrary.org/obo/CL_4023016","vip GABAergic cortical interneuron","753"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Male_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H18.30.002_Brain","http://purl.obolibrary.org/obo/CL_4023040","L2/3-6 intratelencephalic projecting glutamatergic cortical neuron","18439"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Male_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H18.30.002_Brain","http://purl.obolibrary.org/obo/CL_4023041","L5 extratelencephalic projecting glutamatergic cortical neuron","77"
