tissue_type,cell_type_ontology_id,cell_type,Total
colon,CL:0000057,Fibroblast Progenitor,261
colon,CL:0000057,Fibroblasts G2M-phase,30
colon,CL:0000057,Fibroblasts S-phase,117
colon,CL:0000057,Myofibroblasts,116
colon,CL:0000057,Proximal S2 (1),1
colon,CL:0000057,Proximal S2 (2),1
colon,CL:0000057,S1,2
colon,CL:0000057,S1 COL6A5+,1
colon,CL:0000057,S3,85
colon,CL:0000057,S3 EBF+,47
colon,CL:0000057,S3 HAND1+,52
colon,CL:0000057,S3 Progenitor,88
colon,CL:0000100,Excitory Motor Neuron,1
colon,CL:0000125,Differentiating Submucosal Glial,94
colon,CL:0000125,Intraganglionic Glial,154
colon,CL:0000125,Lymphoid Associated Glial,13
colon,CL:0000131,Arterial (L),54
colon,CL:0000131,Arterial (M),1
colon,CL:0000131,Endothelium S-phase,2
colon,CL:0000131,Lymphatic,56
colon,CL:0000131,Venous (CP) 2,34
colon,CL:0000131,Venous (L),47
colon,CL:0000131,Venous (M) 1,1
colon,CL:0000131,Venous (M) 2,17
colon,CL:0000151,Secretory Progenitors,90
colon,CL:0000164,EECs,41
colon,CL:0000165,Neuroendocrine (2),17
colon,CL:0000186,Myofibroblast Progenitors,64
colon,CL:0000186,Myofibroblasts S-phase,95
colon,CL:0000235,Macrophages,4
colon,CL:0000235,Macrophages SPP1+,134
colon,CL:0000236,B-Cells,105
colon,CL:0000451,DCs,4
colon,CL:0000576,Monocytes,1
colon,CL:0000584,BEST4/OTOP2 Cells,922
colon,CL:0000584,Distal Enterocytes,133
colon,CL:0000584,Distal Mature Enterocytes,41
colon,CL:0000584,Proximal Early Enterocytes,11
colon,CL:0000623,NKs & γδ,23
colon,CL:0000669,Angiogenic Pericytes,20
colon,CL:0000669,BMPER+ Pericytes,2
colon,CL:0000669,Contractile Pericytes,23
colon,CL:0000669,Pericyte Progenitors,14
colon,CL:0000669,Pericytes G2M-phase,21
colon,CL:0000669,Pericytes S-phase,1
colon,CL:0000669,Undifferentiated Pericytes,1
colon,CL:0000669,WNT6+ Pericytes,1
colon,CL:0000677,Distal Absorptive,46
colon,CL:0000738,Cell Cycle,36
colon,CL:0000764,Erythroid,88
colon,CL:0000784,pDCs,8
colon,CL:0000898,Naive T-Cells,3
colon,CL:0001071,Type 3 ILCs,5
colon,CL:0002088,ICC KIT+,2
colon,CL:0002088,ICC PDGFRA+,157
colon,CL:0002504,Muscularis G2M-phase,1
colon,CL:0002504,Muscularis S-phase,3
colon,CL:0008015,Inhibitory Motor Neuron Precursor,27
colon,CL:0009011,Distal TA,26
colon,CL:0009012,Proximal TA,322
colon,CL:0009016,Distal Stem Cells,73
colon,CL:0009017,Proximal Stem Cells,13
colon,CL:0011026,Proximal Progenitor,85
colon,CL:0019031,Goblets,710
colon,UBERON:0002005,ENS Progenitors,1
colon,UBERON:0002005,Neural G2M- & S-phase,22
colon,UBERON:0012367,FOXF2- Muscularis,68
colon,UBERON:0012367,FOXF2+ Distal Muscularis,219
colon,UBERON:0012367,IGF1+ Distal Muscularis,7
large intestine,CL:0000057,fibroblast,953
large intestine,CL:0000097,mast cell,38
large intestine,CL:0000131,gut endothelial cell,53
large intestine,CL:0000160,goblet cell,166
large intestine,CL:0000236,B cell,497
large intestine,CL:0000576,monocyte,543
large intestine,CL:0000584,enterocyte,1464
large intestine,CL:0000624,"CD4-positive, alpha-beta T cell",2872
large intestine,CL:0000625,"CD8-positive, alpha-beta T cell",2147
large intestine,CL:0000775,neutrophil,27
large intestine,CL:0000786,plasma cell,330
large intestine,CL:0002071,enterocyte of epithelium of large intestine,2764
large intestine,CL:0002250,intestinal crypt stem cell,143
large intestine,CL:0009009,paneth cell of epithelium of large intestine,888
large intestine,CL:0009011,transit amplifying cell of large intestine,208
large intestine,CL:0009016,intestinal crypt stem cell of large intestine,114
large intestine,CL:0019032,intestinal tuft cell,33
large intestine,CL:1000320,large intestine goblet cell,385
large intestine,CL:1001516,intestinal enteroendocrine cell,55
