tissue_type,cell_type_ontology_id,cell_type,Total
uterus,CL:0000057,fibroblast,3014
uterus,CL:0000066,epithelial cell,68
uterus,CL:0000067,ciliated epithelial cell,31
uterus,CL:0000084,T cell,546
uterus,CL:0000115,endothelial cell,2077
uterus,CL:0000235,macrophage,344
uterus,CL:0000236,B cell,10
uterus,CL:0000359,vascular associated smooth muscle cell,390
uterus,CL:0000669,pericyte cell,95
uterus,CL:0000738,leukocyte,17
uterus,CL:0000814,mature NK T cell,53
uterus,CL:0002138,endothelial cell of lymphatic vessel,86
uterus,CL:0002149,epithelial cell of uterus,194
uterus,CL:0002366,myometrial cell,199
